Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,weight
F1,200000,200000,911,1,2,0.004556126423354,0.004555,,2,100
F2,100000,100000,1367,1,2,0.0136693112891874,0.01367,,7,100
F3,200000,200000,621,1,2,0.0031038225375681,0.003105,,1,100
F4,200000,200000,1923,1,2,0.0096156140854676,0.009615,,6,100
F5,200000,200000,4018,1,2,0.0200893151979335,0.02009,,4,100
F6,400000,400000,7993,1,2,0.019982953020142,0.0199825,,7,100
F7,400000,400000,7749,1,2,0.0193720935844727,0.0193725,,7,100
F8,50000,50000,3347,1,2,0.0669429784631976,0.06694,,4,100
F9,200000,200000,2063,1,2,0.0103157081132024,0.010315,,7,100
F10,50000,50000,2605,1,2,0.0520987629014595,0.0521,,7,100
F11,200000,200000,4474,1,2,0.0223688316830003,0.02237,,4,100
F12,400000,400000,600,1,2,0.0009743211683846,0.0015,,3,100
F13,100000,100000,7167,1,2,0.0716745615578589,0.07167,,4,100
F14,200000,200000,9705,1,2,0.0485245116548045,0.048525,,3,100
F15,400000,400000,4218,1,2,0.0105448005595892,0.010545,,5,100
F16,400000,400000,7691,1,2,0.0192281890046519,0.0192275,,4,100
F17,50000,50000,6045,1,2,0.1208985767913305,0.1209,,4,100
F18,50000,50000,2000,1,2,0.0399985039493873,0.04,,4,100
F19,400000,400000,8087,1,2,0.0202179279742075,0.0202175,,7,100
F20,400000,400000,8017,1,2,0.0200428820035681,0.0200425,,3,100
F21,400000,400000,2089,1,2,0.0052221577828549,0.0052225,,6,100
F22,400000,400000,4267,1,2,0.010667740903383,0.0106675,,2,100
F23,400000,400000,1661,1,2,0.0041523897250126,0.0041525,,7,100
F24,400000,400000,600,1,2,0.0012611511964591,0.0015,,7,100
F25,200000,200000,709,1,1,0.0035439379616483,0.003545,,3,1
F26,400000,400000,1498,1,1,0.0037458153826442,0.003745,,5,1
F27,100000,100000,4308,1,1,0.0430824868215455,0.04308,,7,1
F28,100000,100000,1577,1,1,0.0157691778937373,0.01577,,1,1
F29,400000,400000,2441,1,1,0.0061032666615953,0.0061025,,4,1
F30,400000,400000,7885,1,1,0.0197121843983106,0.0197125,,4,1
F31,400000,400000,8983,1,1,0.0224569576040181,0.0224575,,7,1
F32,200000,200000,3308,1,1,0.0165396969223932,0.01654,,2,1
F33,400000,400000,3450,1,1,0.0086259341704256,0.008625,,4,1
F34,400000,400000,7755,1,1,0.0193884979862113,0.0193875,,2,1
F35,400000,400000,10505,1,1,0.0262633103135488,0.0262625,,4,1
F36,200000,200000,2634,1,1,0.0131696121502973,0.01317,,4,1
F37,200000,200000,6779,1,1,0.0338955800510198,0.033895,,7,1
F38,100000,100000,2162,1,1,0.021619704791674,0.02162,,3,1
F39,400000,400000,5196,1,1,0.012989167701468,0.01299,,3,1
F40,400000,400000,6157,1,1,0.0153933647332558,0.0153925,,5,1
F41,400000,400000,9853,1,1,0.0246335550938393,0.0246325,,3,1
F42,100000,100000,3566,1,1,0.0356611971161416,0.03566,,3,1
F43,200000,200000,3782,1,1,0.0189094044660354,0.01891,,3,1
F44,400000,400000,885,1,1,0.0022122363325604,0.0022125,,1,1
F45,200000,200000,2338,1,1,0.0116911686015201,0.01169,,1,1
F46,400000,400000,5969,1,1,0.0149215257888774,0.0149225,,6,1
F47,400000,400000,768,1,1,0.0019199361168713,0.00192,,5,1
F48,200000,200000,3925,1,1,0.0196257828678534,0.019625,,3,1
