Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,weight
F1,400000,400000,2227,1,2,0.0055678373297858,0.0055675,,7,100
F2,200000,200000,9415,1,2,0.0470730219794894,0.047075,,2,100
F3,200000,200000,987,1,2,0.0049356311065315,0.004935,,6,100
F4,200000,200000,8481,1,2,0.0424064126218747,0.042405,,2,100
F5,400000,400000,11901,1,2,0.0297529250779098,0.0297525,,2,100
F6,400000,400000,6348,1,2,0.0158696851445927,0.01587,,5,100
F7,400000,400000,5111,1,2,0.0127783077157616,0.0127775,,1,100
F8,100000,100000,783,1,2,0.0078298198786838,0.00783,,2,100
F9,400000,400000,3903,1,2,0.0097576732862076,0.0097575,,2,100
F10,400000,400000,640,1,2,0.0016001530465753,0.0016,,1,100
F11,400000,400000,600,1,2,0.000853610962669,0.0015,,2,100
F12,200000,200000,6874,1,2,0.0343698573712649,0.03437,,2,100
F13,400000,400000,600,1,2,0.0007071598510234,0.0015,,4,100
F14,400000,400000,5285,1,2,0.0132129367236341,0.0132125,,4,100
F15,200000,200000,4227,1,2,0.0211352123129827,0.021135,,5,100
F16,400000,400000,2854,1,2,0.007136089298201,0.007135,,5,100
F17,200000,200000,6231,1,2,0.0311570403528936,0.031155,,2,100
F18,100000,100000,5670,1,2,0.0567022317073546,0.0567,,2,100
F19,400000,400000,600,1,2,0.0009150733792741,0.0015,,7,100
F20,400000,400000,2331,1,2,0.0058264503639707,0.0058275,,5,100
F21,400000,400000,1562,1,2,0.0039057260143541,0.003905,,3,100
F22,200000,200000,9961,1,2,0.0498065323514635,0.049805,,2,100
F23,400000,400000,3685,1,2,0.0092115748747648,0.0092125,,1,100
F24,400000,400000,600,1,2,0.0013687281046824,0.0015,,1,100
F25,400000,400000,6084,1,1,0.0152099730558041,0.01521,,1,1
F26,200000,200000,10245,1,1,0.0512271328584774,0.051225,,2,1
F27,200000,200000,5917,1,1,0.0295855602540451,0.029585,,5,1
F28,50000,50000,3461,1,1,0.0692227805215837,0.06922,,2,1
F29,400000,400000,2681,1,1,0.0067024644806617,0.0067025,,4,1
F30,200000,200000,1425,1,1,0.0071247454995582,0.007125,,7,1
F31,200000,200000,8972,1,1,0.0448584025668466,0.04486,,2,1
F32,400000,400000,7539,1,1,0.0188468722394596,0.0188475,,2,1
F33,400000,400000,4963,1,1,0.0124083050525694,0.0124075,,5,1
F34,200000,200000,9351,1,1,0.0467574728296315,0.046755,,2,1
F35,200000,200000,2947,1,1,0.0147338320746227,0.014735,,5,1
F36,200000,200000,2775,1,1,0.0138758125044372,0.013875,,2,1
F37,400000,400000,6316,1,1,0.0157892655245908,0.01579,,2,1
F38,400000,400000,600,1,1,0.0007788179105185,0.0015,,2,1
F39,100000,100000,6425,1,1,0.0642465918476887,0.06425,,2,1
F40,100000,100000,3357,1,1,0.0335720112238569,0.03357,,2,1
F41,50000,50000,3518,1,1,0.070362663737429,0.07036,,2,1
F42,400000,400000,1935,1,1,0.0048374278941382,0.0048375,,5,1
F43,400000,400000,10865,1,1,0.0271632307360411,0.0271625,,2,1
F44,400000,400000,2330,1,1,0.0058243142462073,0.005825,,1,1
F45,200000,200000,5936,1,1,0.0296808297977385,0.02968,,2,1
F46,400000,400000,3477,1,1,0.0086920486038075,0.0086925,,4,1
F47,400000,400000,2817,1,1,0.0070431336058284,0.0070425,,2,1
F48,200000,200000,6408,1,1,0.0320398120203603,0.03204,,2,1
