Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,weight
F1,400000,400000,9105,1,2,0.0227625697759973,0.0227625,,1,100
F2,200000,200000,2593,1,2,0.0129647083257977,0.012965,,5,100
F3,400000,400000,5223,1,2,0.013058515174529,0.0130575,,5,100
F4,400000,400000,8795,1,2,0.0219873450511741,0.0219875,,5,100
F5,400000,400000,10745,1,2,0.0268628593090328,0.0268625,,4,100
F6,400000,400000,9147,1,2,0.0228675415183409,0.0228675,,4,100
F7,400000,400000,1126,1,2,0.0028140718482071,0.002815,,2,100
F8,400000,400000,4909,1,2,0.0122713557466656,0.0122725,,4,100
F9,200000,200000,11854,1,2,0.0592711251931821,0.05927,,5,100
F10,200000,200000,1700,1,2,0.0085000294017089,0.0085,,4,100
F11,100000,100000,3989,1,2,0.0398911623330612,0.03989,,1,100
F12,400000,400000,7381,1,2,0.0184516950427924,0.0184525,,3,100
F13,400000,400000,9251,1,2,0.0231271504777019,0.0231275,,5,100
F14,400000,400000,11723,1,2,0.0293084655416629,0.0293075,,3,100
F15,200000,200000,8353,1,2,0.0417668778880141,0.041765,,4,100
F16,400000,400000,7431,1,2,0.0185772465394141,0.0185775,,1,100
F17,50000,50000,2169,1,2,0.0433780362346051,0.04338,,1,100
F18,200000,200000,8363,1,2,0.0418152653943062,0.041815,,5,100
F19,50000,50000,3477,1,2,0.069536241557545,0.06954,,4,100
F20,400000,400000,2574,1,2,0.006434438355119,0.006435,,7,100
F21,400000,400000,8982,1,2,0.0224538373560151,0.022455,,3,100
F22,400000,400000,600,1,2,0.0005198600674136,0.0015,,1,100
F23,400000,400000,4244,1,2,0.0106092006256384,0.01061,,5,100
F24,400000,400000,2006,1,2,0.0050151715926884,0.005015,,3,100
F25,400000,400000,6604,1,1,0.0165110277161126,0.01651,,6,1
F26,400000,400000,5123,1,1,0.0128084687931779,0.0128075,,6,1
F27,400000,400000,2631,1,1,0.0065784073790136,0.0065775,,3,1
F28,400000,400000,3532,1,1,0.0088290472894299,0.00883,,2,1
F29,200000,200000,7956,1,1,0.0397817011278509,0.03978,,5,1
F30,100000,100000,3831,1,1,0.0383101675581779,0.03831,,4,1
F31,400000,400000,1525,1,1,0.0038120353009022,0.0038125,,7,1
F32,200000,200000,6249,1,1,0.0312429221655592,0.031245,,1,1
F33,400000,400000,3398,1,1,0.0084961672995058,0.008495,,6,1
F34,50000,50000,3106,1,1,0.0621201227291923,0.06212,,4,1
F35,400000,400000,709,1,1,0.0017729719642089,0.0017725,,1,1
F36,200000,200000,743,1,1,0.003715323589726,0.003715,,4,1
F37,100000,100000,4725,1,1,0.047249542980353,0.04725,,4,1
F38,400000,400000,4899,1,1,0.0122484222627627,0.0122475,,1,1
F39,400000,400000,901,1,1,0.0022514014071685,0.0022525,,6,1
F40,400000,400000,10875,1,1,0.0271880804491668,0.0271875,,5,1
F41,400000,400000,8159,1,1,0.0203981705556469,0.0203975,,4,1
F42,400000,400000,600,1,1,0.0009619770264378,0.0015,,6,1
F43,400000,400000,8870,1,1,0.0221754449910247,0.022175,,6,1
F44,400000,400000,644,1,1,0.0016095101849394,0.00161,,5,1
F45,400000,400000,9414,1,1,0.0235353368408987,0.023535,,3,1
F46,400000,400000,9573,1,1,0.0239328686718095,0.0239325,,1,1
F47,400000,400000,3385,1,1,0.0084624317161894,0.0084625,,1,1
F48,400000,400000,4843,1,1,0.0121074410317773,0.0121075,,3,1
