Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,weight
F1,400000,400000,2977,1,2,0.0074413866798295,0.0074425,,6,100
F2,400000,400000,6058,1,2,0.0151449616217729,0.015145,,2,100
F3,400000,400000,1930,1,2,0.0048249205606536,0.004825,,3,100
F4,100000,100000,3461,1,2,0.0346112886737877,0.03461,,4,100
F5,50000,50000,719,1,2,0.0143810127029118,0.01438,,6,100
F6,50000,50000,4104,1,2,0.0820841824605422,0.08208,,5,100
F7,100000,100000,6686,1,2,0.0668639858103371,0.06686,,5,100
F8,400000,400000,2347,1,2,0.0058683674555305,0.0058675,,7,100
F9,400000,400000,8709,1,2,0.0217731972060311,0.0217725,,2,100
F10,50000,50000,3029,1,2,0.0605756694822542,0.06058,,5,100
F11,200000,200000,2002,1,2,0.0100109219175982,0.01001,,1,100
F12,200000,200000,8391,1,2,0.0419566562427738,0.041955,,2,100
F13,400000,400000,5515,1,2,0.0137874770545883,0.0137875,,5,100
F14,200000,200000,1031,1,2,0.0051550625240226,0.005155,,2,100
F15,400000,400000,6010,1,2,0.0150261803139616,0.015025,,3,100
F16,200000,200000,8023,1,2,0.0401130128902209,0.040115,,4,100
F17,400000,400000,999,1,2,0.0024979571215622,0.0024975,,1,100
F18,200000,200000,10126,1,2,0.0506320039150208,0.05063,,2,100
F19,400000,400000,1212,1,2,0.0030289034637179,0.00303,,1,100
F20,400000,400000,10164,1,2,0.0254101677243775,0.02541,,3,100
F21,400000,400000,600,1,2,0.0003182863243147,0.0015,,5,100
F22,100000,100000,4683,1,2,0.0468279836329476,0.04683,,7,100
F23,400000,400000,8629,1,2,0.0215713740443357,0.0215725,,1,100
F24,100000,100000,1175,1,2,0.0117488608256534,0.01175,,1,100
F25,200000,200000,7985,1,1,0.0399244042775032,0.039925,,7,1
F26,50000,50000,1930,1,1,0.0386001417353936,0.0386,,5,1
F27,400000,400000,6460,1,1,0.0161510735044732,0.01615,,7,1
F28,400000,400000,1991,1,1,0.0049778763584423,0.0049775,,7,1
F29,400000,400000,8541,1,1,0.0213522144230678,0.0213525,,4,1
F30,400000,400000,4273,1,1,0.0106818616334694,0.0106825,,7,1
F31,200000,200000,815,1,1,0.0040742416620463,0.004075,,6,1
F32,400000,400000,6631,1,1,0.016577582211132,0.0165775,,6,1
F33,200000,200000,10238,1,1,0.0511905819786601,0.05119,,5,1
F34,200000,200000,4337,1,1,0.0216855091552655,0.021685,,3,1
F35,200000,200000,7011,1,1,0.035053669173147,0.035055,,1,1
F36,100000,100000,2189,1,1,0.0218903386782836,0.02189,,7,1
F37,200000,200000,1698,1,1,0.0084904826483519,0.00849,,3,1
F38,200000,200000,5272,1,1,0.0263598131830704,0.02636,,2,1
F39,200000,200000,9350,1,1,0.0467497831797983,0.04675,,5,1
F40,400000,400000,1376,1,1,0.0034403543813966,0.00344,,5,1
F41,200000,200000,10971,1,1,0.05485593941974,0.054855,,2,1
F42,400000,400000,600,1,1,0.0010908370720268,0.0015,,6,1
F43,200000,200000,3625,1,1,0.0181258169773966,0.018125,,5,1
F44,200000,200000,1658,1,1,0.0082890115186758,0.00829,,4,1
F45,200000,200000,809,1,1,0.0040451549840623,0.004045,,4,1
F46,400000,400000,3264,1,1,0.0081603424212792,0.00816,,5,1
F47,400000,400000,4175,1,1,0.010436723959066,0.0104375,,2,1
F48,400000,400000,4451,1,1,0.0111271201596788,0.0111275,,4,1
