Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,weight
F1,200000,200000,10381,1,2,0.0519034445975382,0.051905,,6,100
F2,400000,400000,3805,1,2,0.0095114707100109,0.0095125,,3,100
F3,400000,400000,10037,1,2,0.0250932090425696,0.0250925,,3,100
F4,100000,100000,1257,1,2,0.0125692804780174,0.01257,,4,100
F5,400000,400000,2654,1,2,0.0066343352792003,0.006635,,6,100
F6,100000,100000,7269,1,2,0.0726903782247135,0.07269,,6,100
F7,400000,400000,2267,1,2,0.0056667462862862,0.0056675,,5,100
F8,200000,200000,712,1,2,0.0035612246572616,0.00356,,4,100
F9,400000,400000,5289,1,2,0.013222874225406,0.0132225,,1,100
F10,400000,400000,3711,1,2,0.0092775969601922,0.0092775,,6,100
F11,400000,400000,600,1,2,0.0007097354196983,0.0015,,1,100
F12,400000,400000,3701,1,2,0.0092527403248138,0.0092525,,1,100
F13,400000,400000,3129,1,2,0.0078235556487415,0.0078225,,7,100
F14,50000,50000,3836,1,2,0.0767231230599717,0.07672,,6,100
F15,100000,100000,611,1,2,0.0061092055438001,0.00611,,2,100
F16,400000,400000,6433,1,2,0.016082133243241,0.0160825,,4,100
F17,400000,400000,1141,1,2,0.002852253633458,0.0028525,,7,100
F18,400000,400000,600,1,2,0.0013151257620455,0.0015,,6,100
F19,400000,400000,3570,1,2,0.0089241395830798,0.008925,,5,100
F20,400000,400000,10965,1,2,0.0274133797452329,0.0274125,,2,100
F21,400000,400000,4383,1,2,0.0109579486705198,0.0109575,,2,100
F22,100000,100000,730,1,2,0.0072987981666746,0.0073,,3,100
F23,50000,50000,5586,1,2,0.1117234442995093,0.11172,,6,100
F24,400000,400000,600,1,2,0.0014553444258653,0.0015,,2,100
F25,100000,100000,2055,1,1,0.0205491951927724,0.02055,,6,1
F26,200000,200000,6299,1,1,0.0314969987318438,0.031495,,6,1
F27,200000,200000,6798,1,1,0.0339901525883695,0.03399,,3,1
F28,200000,200000,4050,1,1,0.0202501612172824,0.02025,,2,1
F29,50000,50000,1268,1,1,0.0253593332443758,0.02536,,2,1
F30,400000,400000,600,1,1,0.0010850970218358,0.0015,,3,1
F31,200000,200000,3680,1,1,0.0184009915317668,0.0184,,3,1
F32,400000,400000,9032,1,1,0.022580060734615,0.02258,,6,1
F33,200000,200000,8295,1,1,0.0414730867760671,0.041475,,6,1
F34,200000,200000,6569,1,1,0.0328471844651404,0.032845,,2,1
F35,400000,400000,3030,1,1,0.0075750596993454,0.007575,,4,1
F36,400000,400000,8280,1,1,0.0206993872844778,0.0207,,7,1
F37,200000,200000,9611,1,1,0.0480555036985566,0.048055,,6,1
F38,400000,400000,6001,1,1,0.0150035006042278,0.0150025,,3,1
F39,200000,200000,8680,1,1,0.0433979752285612,0.0434,,3,1
F40,100000,100000,3755,1,1,0.0375496949577879,0.03755,,3,1
F41,100000,100000,1565,1,1,0.0156507359076948,0.01565,,7,1
F42,400000,400000,5849,1,1,0.0146235560708518,0.0146225,,6,1
F43,200000,200000,1131,1,1,0.0056552550101387,0.005655,,1,1
F44,400000,400000,949,1,1,0.0023725146887496,0.0023725,,5,1
F45,100000,100000,3474,1,1,0.0347411895219303,0.03474,,6,1
F46,200000,200000,5935,1,1,0.029674938936434,0.029675,,3,1
F47,100000,100000,1170,1,1,0.011701064714908,0.0117,,7,1
F48,400000,400000,5343,1,1,0.0133586979128282,0.0133575,,2,1
