Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,200000,200000,11649,1,2,0.058245005402124295,0.058245,5.4021242965052174e-09,4,6
F2,200000,200000,7045,1,2,0.035223042307123364,0.035225,1.9576928766348867e-06,1,6
F3,400000,400000,3675,1,2,0.00918866480306546,0.0091875,1.1648030654610314e-06,4,3
F4,200000,200000,10033,1,2,0.05016569429466933,0.050165,6.942946693261343e-07,4,6
F5,400000,400000,4472,1,2,0.011178915905501907,0.01118,1.0840944980935324e-06,1,3
F6,400000,400000,9809,1,2,0.024523411718853083,0.0245225,9.117188530839704e-07,1,3
F7,400000,400000,6481,1,2,0.016202862688315278,0.0162025,3.626883152765825e-07,4,3
F8,400000,400000,5909,1,2,0.014773423531276086,0.0147725,9.235312760872555e-07,1,3
F9,100000,100000,3944,1,2,0.03943993935043566,0.03944,6.064956434292945e-08,4,12
F10,400000,400000,1440,1,2,0.003600708092656335,0.0036,7.080926563351672e-07,4,3
F11,400000,400000,8685,1,2,0.021713020039323294,0.0217125,5.200393232950018e-07,3,3
F12,400000,400000,2331,1,2,0.005826371518976248,0.0058275,1.1284810237524937e-06,4,3
F13,400000,400000,600,1,2,0.00011498408156229711,0.0015,0.001385015918437703,3,3
F14,100000,100000,3677,1,2,0.03676776770340884,0.03677,2.2322965911591997e-06,4,12
F15,400000,400000,3883,1,2,0.009706622062817694,0.0097075,8.779371823072757e-07,7,3
F16,100000,100000,693,1,2,0.006930161293587422,0.00693,1.6129358742199285e-07,1,12
F17,400000,400000,600,1,2,0.0011531116113878137,0.0015,0.0003468883886121863,1,3
F18,400000,400000,6706,1,2,0.01676536133624562,0.016765,3.6133624562242894e-07,1,3
F19,400000,400000,3557,1,2,0.008892438773929257,0.0088925,6.12260707428397e-08,6,3
F20,400000,400000,1006,1,2,0.00251531945804212,0.002515,3.1945804212021867e-07,6,3
F21,400000,400000,600,1,2,4.126057006659245e-05,0.0015,0.0014587394299334076,2,3
F22,200000,200000,7481,1,2,0.03740371780966878,0.037405,1.282190331221289e-06,4,6
F23,200000,200000,8181,1,2,0.04090505140858952,0.040905,5.140858952423777e-08,4,6
F24,400000,400000,6823,1,2,0.017058190466786083,0.0170575,6.90466786083116e-07,3,3
F25,100000,100000,7479,1,2,0.07478939447445498,0.07479,6.05525545011032e-07,4,12
F26,200000,200000,1035,1,2,0.005175865531247936,0.005175,8.655312479363339e-07,2,6
F27,400000,400000,5147,1,2,0.012868236018715146,0.0128675,7.36018715145198e-07,4,3
F28,400000,400000,11121,1,2,0.02780274093267915,0.0278025,2.4093267914776506e-07,3,3
F29,400000,400000,4493,1,2,0.011233609001299799,0.0112325,1.1090012997996834e-06,3,3
F30,400000,400000,600,1,2,0.0007438264330807687,0.0015,0.0007561735669192314,5,3
F31,400000,400000,2387,1,2,0.005967136099393949,0.0059675,3.6390060605042546e-07,7,3
F32,400000,400000,600,1,2,0.0013810462583094818,0.0015,0.00011895374169051823,4,3
F33,400000,400000,3517,1,2,0.008792308130646298,0.0087925,1.918693537019539e-07,3,3
F34,400000,400000,4191,1,2,0.010478251206091665,0.0104775,7.512060916647911e-07,5,3
F35,400000,400000,2971,1,2,0.007427919076761047,0.0074275,4.1907676104693814e-07,2,3
F36,400000,400000,1913,1,2,0.004782963939039708,0.0047825,4.639390397079973e-07,3,3
F37,400000,400000,3320,1,2,0.008298831992134187,0.0083,1.1680078658132115e-06,5,3
F38,400000,400000,6005,1,2,0.01501236508149456,0.0150125,1.3491850543896622e-07,3,3
F39,400000,400000,958,1,2,0.0023960259117287996,0.002395,1.0259117287996465e-06,7,3
F40,400000,400000,5068,1,2,0.012669872451725683,0.01267,1.2754827431737947e-07,6,3
F41,400000,400000,2296,1,2,0.00573951965535785,0.00574,4.80344642150507e-07,7,3
F42,400000,400000,1822,1,2,0.004554220575049769,0.004555,7.794249502306172e-07,5,3
F43,400000,400000,11014,1,2,0.027534771961234272,0.027535,2.2803876572816129e-07,4,3
F44,400000,400000,2202,1,2,0.005504672564722465,0.005505,3.2743527753498897e-07,1,3
F45,400000,400000,7107,1,2,0.017768715551301592,0.0177675,1.2155513015935093e-06,4,3
F46,200000,200000,9608,1,2,0.048041765655253935,0.04804,1.7656552539352388e-06,4,6
F47,400000,400000,2223,1,2,0.005558429881616004,0.0055575,9.29881616004366e-07,6,3
F48,400000,400000,4341,1,2,0.01085134354755349,0.0108525,1.1564524465094983e-06,2,3
