Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,400000,400000,7643,1,2,0.01910718127967559,0.0191075,3.18720324410382e-07,6,6
F2,800000,800000,2360,1,2,0.002950596491243962,0.00295,5.964912439620183e-07,6,3
F3,400000,400000,7597,1,2,0.018993200943180577,0.0189925,7.009431805780897e-07,4,6
F4,200000,200000,724,1,2,0.0036193848829425557,0.00362,6.151170574442838e-07,4,12
F5,800000,800000,4315,1,2,0.005393734701578112,0.00539375,1.5298421887806335e-08,4,3
F6,800000,800000,3333,1,2,0.0041667591425711414,0.00416625,5.091425711416242e-07,2,3
F7,400000,400000,2044,1,2,0.005110577074327938,0.00511,5.77074327937771e-07,1,6
F8,100000,100000,3435,1,2,0.03434989314812131,0.03435,1.0685187868536561e-07,2,24
F9,800000,800000,600,1,2,0.00046518787592764177,0.00075,0.00028481212407235825,3,3
F10,400000,400000,8685,1,2,0.021711918204295855,0.0217125,5.817957041444333e-07,5,6
F11,400000,400000,10319,1,2,0.025796451565858636,0.0257975,1.0484341413652398e-06,6,6
F12,800000,800000,4445,1,2,0.005555801304995445,0.00555625,4.486950045557575e-07,6,3
F13,800000,800000,3351,1,2,0.0041887048324235066,0.00418875,4.516757649321301e-08,6,3
F14,800000,800000,7945,1,2,0.009930811188265998,0.00993125,4.388117340031056e-07,4,3
F15,800000,800000,1911,1,2,0.0023890651847885414,0.00238875,3.151847885415372e-07,5,3
F16,400000,400000,792,1,2,0.0019803353939019663,0.00198,3.3539390196634516e-07,3,6
F17,100000,100000,3271,1,2,0.03270941011068507,0.03271,5.898893149364204e-07,4,24
F18,800000,800000,5892,1,2,0.007365400608047801,0.007365,4.006080478007046e-07,1,3
F19,400000,400000,1318,1,2,0.00329461694638411,0.003295,3.830536158900069e-07,7,6
F20,100000,100000,1112,1,2,0.011120009547607057,0.01112,9.547607057389107e-09,5,24
F21,200000,200000,10376,1,2,0.051882301563690114,0.05188,2.301563690111641e-06,3,12
F22,800000,800000,1943,1,2,0.002428353131105121,0.00242875,3.968688948789538e-07,1,3
F23,200000,200000,7625,1,2,0.03812512011024083,0.038125,1.201102408296406e-07,4,12
F24,800000,800000,9032,1,2,0.011289479383356893,0.01129,5.206166431067499e-07,3,3
F25,200000,200000,3968,1,2,0.01983880046059594,0.01984,1.1995394040599516e-06,3,12
F26,800000,800000,4053,1,2,0.005066192333838759,0.00506625,5.7666161240241265e-08,3,3
F27,400000,400000,2595,1,2,0.006487951258219327,0.0064875,4.512582193264003e-07,2,6
F28,100000,100000,3155,1,2,0.0315491436921877,0.03155,8.563078123038914e-07,3,24
F29,200000,200000,3572,1,2,0.01785981142624865,0.01786,1.8857375135017396e-07,6,12
F30,100000,100000,8229,1,2,0.0822879202689683,0.08229,2.079731031695564e-06,6,24
F31,400000,400000,6051,1,2,0.015126610457879108,0.0151275,8.895421208920257e-07,2,6
F32,400000,400000,8237,1,2,0.020593607210061926,0.0205925,1.107210061926378e-06,2,6
F33,200000,200000,3355,1,2,0.016774935303392913,0.016775,6.469660708899316e-08,5,12
F34,200000,200000,11167,1,2,0.055837350733993096,0.055835,2.3507339930936566e-06,3,12
F35,400000,400000,1361,1,2,0.00340218526619529,0.0034025,3.1473380471009477e-07,4,6
F36,400000,400000,4303,1,2,0.010758059228523437,0.0107575,5.592285234369554e-07,6,6
F37,800000,800000,9941,1,2,0.012426086046163742,0.01242625,1.6395383625744664e-07,2,3
F38,800000,800000,2121,1,2,0.0026511386779904667,0.00265125,1.1132200953330867e-07,2,3
F39,400000,400000,6185,1,2,0.01546145280144684,0.0154625,1.047198553160572e-06,3,6
F40,100000,100000,7059,1,2,0.07059480524497111,0.07059,4.805244971109457e-06,6,24
F41,200000,200000,7413,1,2,0.03706261793545666,0.037065,2.382064543338114e-06,5,12
F42,800000,800000,3809,1,2,0.004760944630545022,0.00476125,3.053694549778191e-07,5,3
F43,400000,400000,7987,1,2,0.01996666462848254,0.0199675,8.353715174602705e-07,5,6
F44,200000,200000,3858,1,2,0.019290698682644616,0.01929,6.98682644614812e-07,4,12
F45,800000,800000,1233,1,2,0.0015412272025523144,0.00154125,2.2797447685705963e-08,2,3
F46,800000,800000,5690,1,2,0.007112181200407429,0.0071125,3.1879959257099383e-07,3,3
F47,800000,800000,4947,1,2,0.0061832642522137785,0.00618375,4.857477862215548e-07,5,3
F48,200000,200000,10217,1,2,0.05108573793614016,0.051085,7.379361401591011e-07,6,12
