Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,weight
F1,400000,400000,9707,1,2,0.0242663962559148,0.0242675,,4,100
F2,100000,100000,1017,1,2,0.0101693025729325,0.01017,,6,100
F3,100000,100000,621,1,2,0.0062088932526342,0.00621,,4,100
F4,400000,400000,4243,1,2,0.0106069450798504,0.0106075,,4,100
F5,400000,400000,5919,1,2,0.0147969409837338,0.0147975,,2,100
F6,400000,400000,1415,1,2,0.0035376751664921,0.0035375,,3,100
F7,100000,100000,6279,1,2,0.0627915980505693,0.06279,,1,100
F8,200000,200000,5177,1,2,0.025885618527923,0.025885,,1,100
F9,100000,100000,4524,1,2,0.0452393656732514,0.04524,,1,100
F10,400000,400000,6825,1,2,0.0170615431205893,0.0170625,,7,100
F11,400000,400000,6765,1,2,0.0169129406841807,0.0169125,,6,100
F12,200000,200000,10188,1,2,0.0509410926782969,0.05094,,5,100
F13,400000,400000,4771,1,2,0.0119286942639618,0.0119275,,1,100
F14,400000,400000,3650,1,2,0.0091238290909644,0.009125,,2,100
F15,400000,400000,3604,1,2,0.0090101066097664,0.00901,,5,100
F16,400000,400000,600,1,2,0.0005174064896887,0.0015,,2,100
F17,200000,200000,3096,1,2,0.0154805628450506,0.01548,,1,100
F18,400000,400000,600,1,2,0.0012382451039431,0.0015,,7,100
F19,400000,400000,4893,1,2,0.0122330648916353,0.0122325,,5,100
F20,200000,200000,9642,1,2,0.04821154878359,0.04821,,3,100
F21,400000,400000,1225,1,2,0.003061731124753,0.0030625,,5,100
F22,200000,200000,789,1,2,0.0039440452346678,0.003945,,1,100
F23,100000,100000,6767,1,2,0.0676652504783326,0.06767,,7,100
F24,50000,50000,3392,1,2,0.0678449549878844,0.06784,,3,100
F25,400000,400000,2781,1,1,0.0069512502007271,0.0069525,,2,1
F26,100000,100000,6759,1,1,0.0675919479728248,0.06759,,3,1
F27,400000,400000,8431,1,1,0.021078371515408,0.0210775,,1,1
F28,400000,400000,11646,1,1,0.0291154121512903,0.029115,,3,1
F29,400000,400000,3734,1,1,0.0093347627888721,0.009335,,7,1
F30,200000,200000,3917,1,1,0.0195848736491113,0.019585,,7,1
F31,400000,400000,600,1,1,3.9309340853666e-05,0.0015,,2,1
F32,400000,400000,1957,1,1,0.0048924370149142,0.0048925,,3,1
F33,400000,400000,7147,1,1,0.0178663771416888,0.0178675,,3,1
F34,100000,100000,6394,1,1,0.0639362430099173,0.06394,,7,1
F35,400000,400000,1048,1,1,0.0026188111124295,0.00262,,6,1
F36,200000,200000,10043,1,1,0.0502144054785075,0.050215,,7,1
F37,400000,400000,3059,1,1,0.0076481590686166,0.0076475,,7,1
F38,400000,400000,1719,1,1,0.0042971131138936,0.0042975,,1,1
F39,100000,100000,7095,1,1,0.0709519537637564,0.07095,,7,1
F40,400000,400000,4861,1,1,0.0121532943467906,0.0121525,,3,1
F41,400000,400000,1186,1,1,0.0029655489453652,0.002965,,4,1
F42,400000,400000,6865,1,1,0.0171631302536994,0.0171625,,4,1
F43,400000,400000,9070,1,1,0.0226750981237962,0.022675,,3,1
F44,400000,400000,2430,1,1,0.0060739663715241,0.006075,,5,1
F45,100000,100000,4497,1,1,0.0449698731848746,0.04497,,5,1
F46,400000,400000,7423,1,1,0.0185569930703698,0.0185575,,5,1
F47,200000,200000,6861,1,1,0.0343034475465747,0.034305,,7,1
F48,200000,200000,1319,1,1,0.0065942221170349,0.006595,,6,1
