Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,weight
F1,200000,200000,7177,1,2,0.0358825893492513,0.035885,,1,100
F2,100000,100000,7697,1,2,0.076970151999352,0.07697,,1,100
F3,400000,400000,8835,1,2,0.0220875671042986,0.0220875,,5,100
F4,200000,200000,6223,1,2,0.0311152278842441,0.031115,,1,100
F5,200000,200000,4337,1,2,0.0216856455062374,0.021685,,3,100
F6,50000,50000,1315,1,2,0.0262994251556082,0.0263,,5,100
F7,100000,100000,7834,1,2,0.0783402386355455,0.07834,,1,100
F8,400000,400000,10245,1,2,0.0256135527710483,0.0256125,,1,100
F9,200000,200000,9750,1,2,0.0487517062278096,0.04875,,5,100
F10,400000,400000,6325,1,2,0.0158130762019738,0.0158125,,5,100
F11,400000,400000,600,1,2,0.0014629571466229,0.0015,,4,100
F12,400000,400000,5153,1,2,0.0128830645043949,0.0128825,,2,100
F13,400000,400000,4581,1,2,0.0114527562012038,0.0114525,,5,100
F14,400000,400000,924,1,2,0.0023107046645101,0.00231,,7,100
F15,200000,200000,2813,1,2,0.0140659937949789,0.014065,,1,100
F16,200000,200000,6126,1,2,0.0306314714024762,0.03063,,5,100
F17,400000,400000,5143,1,2,0.0128566849566427,0.0128575,,6,100
F18,200000,200000,1136,1,2,0.0056807244363213,0.00568,,1,100
F19,400000,400000,1865,1,2,0.0046637007613993,0.0046625,,6,100
F20,400000,400000,4136,1,2,0.01034029733394,0.01034,,3,100
F21,400000,400000,1608,1,2,0.0040190478987413,0.00402,,4,100
F22,400000,400000,3433,1,2,0.0085824187400042,0.0085825,,5,100
F23,400000,400000,3915,1,2,0.0097864402373946,0.0097875,,3,100
F24,200000,200000,1564,1,2,0.0078197081330976,0.00782,,2,100
F25,200000,200000,8370,1,1,0.0418512218685852,0.04185,,1,1
F26,400000,400000,9654,1,1,0.0241358671376386,0.024135,,1,1
F27,400000,400000,2201,1,1,0.0055015793192425,0.0055025,,6,1
F28,50000,50000,1888,1,1,0.0377580822565628,0.03776,,5,1
F29,400000,400000,600,1,1,5.125966556229766e-05,0.0015,,6,1
F30,400000,400000,2159,1,1,0.0053969191702379,0.0053975,,4,1
F31,100000,100000,6355,1,1,0.0635462388197137,0.06355,,1,1
F32,400000,400000,7487,1,1,0.0187166511810982,0.0187175,,1,1
F33,400000,400000,2067,1,1,0.0051677611118696,0.0051675,,1,1
F34,200000,200000,3397,1,1,0.0169850878382831,0.016985,,3,1
F35,400000,400000,600,1,1,0.0009405426713229,0.0015,,5,1
F36,400000,400000,1329,1,1,0.0033214207751868,0.0033225,,2,1
F37,200000,200000,4842,1,1,0.0242092609434003,0.02421,,5,1
F38,200000,200000,11045,1,1,0.0552250243011981,0.055225,,1,1
F39,50000,50000,2972,1,1,0.0594406795868607,0.05944,,1,1
F40,200000,200000,11002,1,1,0.0550097887051989,0.05501,,1,1
F41,400000,400000,900,1,1,0.0022506840558599,0.00225,,3,1
F42,400000,400000,600,1,1,0.0004000301415441,0.0015,,2,1
F43,100000,100000,932,1,1,0.0093195678428348,0.00932,,7,1
F44,400000,400000,4070,1,1,0.0101738934507038,0.010175,,7,1
F45,200000,200000,5064,1,1,0.0253208271713136,0.02532,,3,1
F46,200000,200000,7072,1,1,0.0353575331430567,0.03536,,5,1
F47,400000,400000,1012,1,1,0.0025302894359997,0.00253,,5,1
F48,400000,400000,11276,1,1,0.0281905513095205,0.02819,,1,1
