Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,weight
F1,400000,400000,2123,1,2,0.0053064294171052,0.0053075,,1,100
F2,200000,200000,7721,1,2,0.0386029281945059,0.038605,,1,100
F3,400000,400000,2514,1,2,0.006286109273847,0.006285,,1,100
F4,400000,400000,7209,1,2,0.0180221014566765,0.0180225,,5,100
F5,400000,400000,4258,1,2,0.0106442560305499,0.010645,,1,100
F6,400000,400000,6633,1,2,0.0165822447653759,0.0165825,,2,100
F7,100000,100000,7083,1,2,0.0708316654356779,0.07083,,2,100
F8,100000,100000,6195,1,2,0.0619532118948396,0.06195,,2,100
F9,400000,400000,863,1,2,0.0021577367239349,0.0021575,,6,100
F10,100000,100000,3683,1,2,0.036828672713396,0.03683,,2,100
F11,50000,50000,4879,1,2,0.0975780486325524,0.09758,,2,100
F12,400000,400000,5805,1,2,0.0145130632317941,0.0145125,,1,100
F13,400000,400000,9424,1,2,0.0235593044955054,0.02356,,6,100
F14,200000,200000,3291,1,2,0.0164554625383711,0.016455,,6,100
F15,400000,400000,843,1,2,0.0021082911245418,0.0021075,,2,100
F16,400000,400000,6985,1,2,0.0174629014564277,0.0174625,,1,100
F17,200000,200000,11301,1,2,0.0565033906041824,0.056505,,2,100
F18,200000,200000,2360,1,2,0.0118008364417754,0.0118,,3,100
F19,400000,400000,2209,1,2,0.0055217948189698,0.0055225,,6,100
F20,400000,400000,1085,1,2,0.0027129385605316,0.0027125,,5,100
F21,400000,400000,1957,1,2,0.0048915733031648,0.0048925,,2,100
F22,400000,400000,5153,1,2,0.0128813786962208,0.0128825,,5,100
F23,400000,400000,8541,1,2,0.0213528254258357,0.0213525,,1,100
F24,400000,400000,4929,1,2,0.0123236988277719,0.0123225,,6,100
F25,400000,400000,2991,1,1,0.0074767366793111,0.0074775,,6,1
F26,400000,400000,600,1,1,0.0007245306829097,0.0015,,1,1
F27,400000,400000,6602,1,1,0.0165048906431903,0.016505,,5,1
F28,200000,200000,8461,1,1,0.0423053680365717,0.042305,,5,1
F29,200000,200000,7085,1,1,0.0354255194800776,0.035425,,5,1
F30,400000,400000,5395,1,1,0.0134866032912552,0.0134875,,2,1
F31,400000,400000,1383,1,1,0.0034565749699981,0.0034575,,5,1
F32,400000,400000,600,1,1,0.0005254389478998,0.0015,,3,1
F33,400000,400000,2977,1,1,0.0074437038839798,0.0074425,,5,1
F34,400000,400000,7637,1,1,0.0190922952031808,0.0190925,,2,1
F35,400000,400000,6459,1,1,0.0161485319240954,0.0161475,,3,1
F36,100000,100000,4212,1,1,0.0421204419180459,0.04212,,6,1
F37,200000,200000,9066,1,1,0.0453308992537503,0.04533,,2,1
F38,400000,400000,3253,1,1,0.0081328768657171,0.0081325,,5,1
F39,400000,400000,600,1,1,0.0004180139724325,0.0015,,7,1
F40,100000,100000,10245,1,1,0.102445330275262,0.10245,,2,1
F41,200000,200000,1050,1,1,0.0052502445742028,0.00525,,3,1
F42,400000,400000,7181,1,1,0.0179526381276782,0.0179525,,6,1
F43,200000,200000,11199,1,1,0.055996321536491,0.055995,,6,1
F44,200000,200000,1968,1,1,0.009839619599344,0.00984,,2,1
F45,400000,400000,2306,1,1,0.0057659623944393,0.005765,,3,1
F46,400000,400000,2671,1,1,0.0066783391232695,0.0066775,,2,1
F47,200000,200000,10337,1,1,0.0516843716196799,0.051685,,1,1
F48,400000,400000,1209,1,1,0.0030230102176371,0.0030225,,7,1
