Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,weight
F1,400000,400000,1809,1,2,0.004521932620358,0.0045225,,4,100
F2,200000,200000,11515,1,2,0.0575742348741831,0.057575,,5,100
F3,400000,400000,600,1,2,0.0014216045155276,0.0015,,7,100
F4,400000,400000,8454,1,2,0.0211352210233185,0.021135,,4,100
F5,200000,200000,2576,1,2,0.0128793544909823,0.01288,,6,100
F6,400000,400000,11235,1,2,0.0280879354834879,0.0280875,,5,100
F7,400000,400000,5854,1,2,0.0146348310727759,0.014635,,3,100
F8,200000,200000,6861,1,2,0.0343073409213211,0.034305,,1,100
F9,50000,50000,1997,1,2,0.0399388515775449,0.03994,,2,100
F10,400000,400000,5211,1,2,0.0130272353476569,0.0130275,,4,100
F11,200000,200000,8571,1,2,0.0428573168211059,0.042855,,5,100
F12,400000,400000,2851,1,2,0.0071272905150666,0.0071275,,4,100
F13,100000,100000,1179,1,2,0.0117911035566103,0.01179,,2,100
F14,100000,100000,6882,1,2,0.0688247161560112,0.06882,,3,100
F15,400000,400000,6934,1,2,0.0173346185101858,0.017335,,3,100
F16,200000,200000,8355,1,2,0.041772976351079,0.041775,,3,100
F17,400000,400000,10133,1,2,0.0253315435117442,0.0253325,,3,100
F18,200000,200000,9445,1,2,0.0472253014755712,0.047225,,3,100
F19,400000,400000,1068,1,2,0.0026706141357853,0.00267,,5,100
F20,200000,200000,6161,1,2,0.0308068586059406,0.030805,,4,100
F21,400000,400000,5043,1,2,0.0126075046361588,0.0126075,,5,100
F22,400000,400000,600,1,2,0.0001619591429563,0.0015,,7,100
F23,100000,100000,2222,1,2,0.0222189803533729,0.02222,,5,100
F24,200000,200000,10911,1,2,0.0545554014322802,0.054555,,3,100
F25,400000,400000,600,1,1,0.0004634916749204,0.0015,,5,1
F26,200000,200000,1768,1,1,0.0088411094597148,0.00884,,7,1
F27,400000,400000,600,1,1,0.0003082959034442,0.0015,,1,1
F28,400000,400000,1401,1,1,0.0035025333106673,0.0035025,,6,1
F29,200000,200000,9236,1,1,0.0461780255118727,0.04618,,4,1
F30,400000,400000,10536,1,1,0.0263411227077462,0.02634,,1,1
F31,400000,400000,2033,1,1,0.0050813992828652,0.0050825,,1,1
F32,400000,400000,5987,1,1,0.0149664831473125,0.0149675,,6,1
F33,200000,200000,971,1,1,0.0048557134863795,0.004855,,1,1
F34,200000,200000,2347,1,1,0.0117360107890521,0.011735,,3,1
F35,400000,400000,600,1,1,0.0004208290359293,0.0015,,2,1
F36,200000,200000,10198,1,1,0.0509897397353193,0.05099,,5,1
F37,200000,200000,5171,1,1,0.0258551024638826,0.025855,,2,1
F38,100000,100000,2342,1,1,0.0234190015066159,0.02342,,4,1
F39,400000,400000,8799,1,1,0.0219981048466568,0.0219975,,1,1
F40,200000,200000,3646,1,1,0.0182297644688738,0.01823,,2,1
F41,100000,100000,3328,1,1,0.0332801954964135,0.03328,,3,1
F42,50000,50000,1564,1,1,0.0312793112926741,0.03128,,2,1
F43,400000,400000,600,1,1,0.0008022693690723,0.0015,,3,1
F44,200000,200000,3341,1,1,0.0167055001844072,0.016705,,5,1
F45,200000,200000,7177,1,1,0.0358826651679367,0.035885,,5,1
F46,400000,400000,5577,1,1,0.0139430820294016,0.0139425,,1,1
F47,200000,200000,7401,1,1,0.0370056476325905,0.037005,,4,1
F48,400000,400000,5913,1,1,0.0147830497856264,0.0147825,,2,1
