Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,800000,800000,9595,1,2,0.011993408838951392,0.01199375,3.4116104860766605e-07,4,3
F2,800000,800000,10837,1,2,0.013545765018408984,0.01354625,4.849815910153155e-07,5,3
F3,800000,800000,3371,1,2,0.00421407705503285,0.00421375,3.2705503285029164e-07,6,3
F4,200000,200000,7501,1,2,0.03750399756041822,0.037505,1.0024395817737064e-06,2,12
F5,400000,400000,8861,1,2,0.022152363909396677,0.0221525,1.3609060332125944e-07,4,6
F6,800000,800000,600,1,2,7.23776190042491e-05,0.00075,0.0006776223809957509,5,3
F7,800000,800000,9162,1,2,0.011453066386544752,0.0114525,5.663865447532584e-07,1,3
F8,200000,200000,8956,1,2,0.04478059179132343,0.04478,5.917913234315675e-07,2,12
F9,400000,400000,9667,1,2,0.024168680160751244,0.0241675,1.1801607512421097e-06,1,6
F10,800000,800000,9520,1,2,0.011900532526953556,0.0119,5.325269535547128e-07,2,3
F11,800000,800000,1588,1,2,0.001985122076827439,0.001985,1.2207682743934495e-07,3,3
F12,800000,800000,1140,1,2,0.0014245500915003317,0.001425,4.4990849966831253e-07,2,3
F13,400000,400000,6055,1,2,0.015137114718672517,0.0151375,3.85281327482459e-07,5,6
F14,800000,800000,3205,1,2,0.004006033898021011,0.00400625,2.1610197898942057e-07,7,3
F15,400000,400000,9865,1,2,0.024663703907781498,0.0246625,1.2039077814975097e-06,5,6
F16,200000,200000,6130,1,2,0.030647536782063778,0.03065,2.4632179362223117e-06,1,12
F17,800000,800000,2946,1,2,0.0036821043903016992,0.0036825,3.956096983007834e-07,1,3
F18,800000,800000,11348,1,2,0.014184399160288796,0.014185,6.008397112032549e-07,1,3
F19,800000,800000,2922,1,2,0.0036531002377260258,0.0036525,6.002377260258367e-07,4,3
F20,400000,400000,8979,1,2,0.022446866682361066,0.0224475,6.333176389324013e-07,2,6
F21,100000,100000,4746,1,2,0.04745931507258666,0.04746,6.84927413341363e-07,2,24
F22,400000,400000,7647,1,2,0.019116988930549583,0.0191175,5.110694504158186e-07,1,6
F23,800000,800000,6945,1,2,0.008681575233113581,0.00868125,3.252331135811942e-07,6,3
F24,200000,200000,6022,1,2,0.030108400550073078,0.03011,1.5994499269235407e-06,2,12
F25,100000,100000,7489,1,2,0.07489442893080833,0.07489,4.428930808333953e-06,2,24
F26,800000,800000,4031,1,2,0.005039276371563484,0.00503875,5.26371563483799e-07,3,3
F27,200000,200000,6216,1,2,0.031079293043795364,0.03108,7.069562046359279e-07,5,12
F28,200000,200000,4459,1,2,0.022294655533832974,0.022295,3.444661670244653e-07,5,12
F29,800000,800000,5851,1,2,0.007314085666939973,0.00731375,3.3566693997347935e-07,1,3
F30,200000,200000,2179,1,2,0.010895018444134152,0.010895,1.844413415226509e-08,5,12
F31,400000,400000,9744,1,2,0.024360949387793485,0.02436,9.493877934849126e-07,4,6
F32,800000,800000,6501,1,2,0.008126594589221492,0.00812625,3.4458922149212257e-07,7,3
F33,400000,400000,7531,1,2,0.018827589672590767,0.0188275,8.967259076606005e-08,2,6
F34,800000,800000,8991,1,2,0.01123902202984714,0.01123875,2.7202984713946277e-07,4,3
F35,100000,100000,4299,1,2,0.04299197633592855,0.04299,1.976335928549622e-06,5,24
F36,200000,200000,10403,1,2,0.052014362513247064,0.052015,6.374867529343464e-07,2,12
F37,400000,400000,1330,1,2,0.003325407197899921,0.003325,4.071978999212883e-07,5,6
F38,800000,800000,8581,1,2,0.010726254026249965,0.01072625,4.026249965372042e-09,2,3
F39,400000,400000,1070,1,2,0.002675211598498442,0.002675,2.115984984421733e-07,7,6
F40,800000,800000,1135,1,2,0.0014185959098419743,0.00141875,1.5409015802583283e-07,1,3
F41,800000,800000,2443,1,2,0.0030536892517843833,0.00305375,6.074821561671134e-08,2,3
F42,400000,400000,2856,1,2,0.00714049441418603,0.00714,4.9441418603028e-07,2,6
F43,100000,100000,6136,1,2,0.06135697381452805,0.06136,3.026185471946552e-06,2,24
F44,200000,200000,2922,1,2,0.01460943067092842,0.01461,5.693290715796245e-07,4,12
F45,800000,800000,7430,1,2,0.009287050953202102,0.0092875,4.49046797898478e-07,1,3
F46,800000,800000,6017,1,2,0.007521027811429791,0.00752125,2.221885702091697e-07,4,3
F47,200000,200000,1414,1,2,0.00706963303121807,0.00707,3.669687819295858e-07,5,12
F48,800000,800000,2399,1,2,0.0029992073736086877,0.00299875,4.573736086875384e-07,6,3
