Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,200000,200000,9607,1,2,0.048033531628717485,0.048035,,7
F2,400000,400000,7767,1,2,0.019418736113058777,0.0194175,,6
F3,400000,400000,919,1,2,0.002298255961562745,0.0022975,,2
F4,400000,400000,849,1,2,0.002121660842755335,0.0021225,,4
F5,200000,200000,896,1,2,0.0044801105857316115,0.00448,,3
F6,200000,200000,2743,1,2,0.013714903241722087,0.013715,,7
F7,400000,400000,4948,1,2,0.012368752702443864,0.01237,,2
F8,200000,200000,5453,1,2,0.027265217239304307,0.027265,,8
F9,400000,400000,8078,1,2,0.020194253491486958,0.020195,,8
F10,100000,100000,6997,1,2,0.06996625842048942,0.06997,,8
F11,200000,200000,9449,1,2,0.04724278108617275,0.047245,,3
F12,400000,400000,10325,1,2,0.025811465606476958,0.0258125,,5
F13,200000,200000,2245,1,2,0.011226141417971847,0.011225,,7
F14,200000,200000,1823,1,2,0.00911424542300332,0.009115,,8
F15,400000,400000,600,1,2,0.0002201413456781598,0.0015,,1
F16,50000,50000,679,1,2,0.013578845436605369,0.01358,,6
F17,100000,100000,2707,1,2,0.027068922547192953,0.02707,,3
F18,400000,400000,8870,1,2,0.02217492409716887,0.022175,,7
F19,400000,400000,600,1,2,0.0012713374335707739,0.0015,,3
F20,100000,100000,7648,1,2,0.07647701379822791,0.07648,,3
F21,400000,400000,1764,1,2,0.004409609072160481,0.00441,,2
F22,200000,200000,6582,1,2,0.03291169194657678,0.03291,,7
F23,400000,400000,7247,1,2,0.018117868116728664,0.0181175,,7
F24,400000,400000,4299,1,2,0.010746353551186805,0.0107475,,5
F25,400000,400000,6653,1,2,0.016632397109398456,0.0166325,,5
F26,200000,200000,1977,1,2,0.00988504948916813,0.009885,,6
F27,200000,200000,2687,1,2,0.013434717220659864,0.013435,,4
F28,400000,400000,9375,1,2,0.02343805405570315,0.0234375,,8
F29,400000,400000,11015,1,2,0.027537261816516695,0.0275375,,5
F30,400000,400000,600,1,2,0.0008096392249592743,0.0015,,2
F31,200000,200000,4894,1,2,0.02446918569685766,0.02447,,6
F32,400000,400000,5966,1,2,0.014914704024889036,0.014915,,5
F33,400000,400000,3193,1,2,0.007981486250774605,0.0079825,,6
F34,50000,50000,2904,1,2,0.058080948267027616,0.05808,,5
F35,400000,400000,941,1,2,0.0023528888505302548,0.0023525,,3
F36,400000,400000,5403,1,2,0.013506375534415999,0.0135075,,8
F37,400000,400000,4693,1,2,0.011731273648203797,0.0117325,,3
F38,200000,200000,1791,1,2,0.008956190348889975,0.008955,,8
F39,400000,400000,2909,1,2,0.00727346289962888,0.0072725,,7
F40,200000,200000,2998,1,2,0.014990942829025827,0.01499,,3
F41,400000,400000,5997,1,2,0.014991374855538864,0.0149925,,2
F42,400000,400000,600,1,2,0.0012025022227978854,0.0015,,4
F43,200000,200000,1809,1,2,0.009044036308520562,0.009045,,1
F44,400000,400000,3202,1,2,0.008006042554778547,0.008005,,5
F45,400000,400000,600,1,2,0.0010853753277383082,0.0015,,7
F46,400000,400000,3646,1,2,0.009115334094606298,0.009115,,4
F47,400000,400000,1049,1,2,0.002621735181141442,0.0026225,,4
F48,400000,400000,8296,1,2,0.020739882254831123,0.02074,,3
