Flow,Packet,Class,Arrival,Deadline,Execution_Time,Gate_Open,Gate_Close,Response_Time,Status,Scheduled,Deadline_Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F1,P1_1,2,0,400000,3341,5048,8389,8389,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F1,P1_2,2,400000,800000,3341,405048,408389,8389,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F1,P1_3,2,800000,1200000,3341,805048,808389,8389,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F10,P10_1,8,0,400000,9101,97409,106510,106510,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F10,P10_2,8,400000,800000,9101,497409,506510,106510,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F10,P10_3,8,800000,1200000,9101,897409,906510,106510,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F11,P11_1,7,0,200000,6254,154979,161233,161233,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F11,P11_2,7,200000,400000,6254,333892,340146,140146,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F11,P11_3,7,400000,600000,6254,554979,561233,161233,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F11,P11_4,7,600000,800000,6254,734084,740338,140338,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F11,P11_5,7,800000,1000000,6254,954979,961233,161233,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F11,P11_6,7,1000000,1200000,6254,1133700,1139954,139954,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F12,P12_1,6,0,400000,812,55465,56277,56277,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F12,P12_2,6,400000,800000,812,455465,456277,56277,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F12,P12_3,6,800000,1200000,812,855465,856277,56277,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_1,5,0,100000,2938,2014,4952,4952,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_2,5,100000,200000,2938,242331,245269,145269,Scheduled - Deadline Missed,Yes,No,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_3,5,200000,300000,2938,257271,260209,60209,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_4,5,300000,400000,2938,341493,344431,44431,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_5,5,400000,500000,2938,402014,404952,4952,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_6,5,500000,600000,2938,642331,645269,145269,Scheduled - Deadline Missed,Yes,No,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_7,5,600000,700000,2938,657463,660401,60401,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_8,5,700000,800000,2938,741685,744623,44623,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_9,5,800000,900000,2938,802014,804952,4952,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_10,5,900000,1000000,2938,1043390,1046328,146328,Scheduled - Deadline Missed,Yes,No,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_11,5,1000000,1100000,2938,1056525,1059463,59463,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F13,P13_12,5,1100000,1200000,2938,1141301,1144239,44239,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F14,P14_1,6,0,400000,4488,8485,12973,12973,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F14,P14_2,6,400000,800000,4488,408485,412973,12973,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F14,P14_3,6,800000,1200000,4488,808485,812973,12973,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F15,P15_1,5,0,400000,1063,161329,162392,162392,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F15,P15_2,5,400000,800000,1063,561329,562392,162392,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F15,P15_3,5,800000,1200000,1063,1037099,1038162,238162,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F16,P16_1,5,0,200000,2359,26374,28733,28733,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F16,P16_2,5,200000,400000,2359,271997,274356,74356,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F16,P16_3,5,400000,600000,2359,426374,428733,28733,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F16,P16_4,5,600000,800000,2359,672189,674548,74548,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
F16,P16_5,5,800000,1000000,2359,826374,828733,28733,Scheduled - Deadline Met,Yes,Yes,33.674078941345215,0.5612346490224203,Solution Limit Exceeded,24226699.0,Gurobi Status: 10
