Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,400000,400000,5281,1,2,0.013202269865103089,0.0132025,,5
F2,200000,200000,1128,1,2,0.005639095390463922,0.00564,,8
F3,200000,200000,2778,1,2,0.013890785265903038,0.01389,,1
F4,400000,400000,3149,1,2,0.00787193218001514,0.0078725,,7
F5,400000,400000,606,1,2,0.001515990751679408,0.001515,,4
F6,200000,200000,10373,1,2,0.051866795698637946,0.051865,,7
F7,100000,100000,3247,1,2,0.03247004658500652,0.03247,,5
F8,200000,200000,7373,1,2,0.03686338175664716,0.036865,,7
F9,400000,400000,10971,1,2,0.027427653949946618,0.0274275,,6
F10,400000,400000,3145,1,2,0.00786145165235208,0.0078625,,2
F11,200000,200000,7423,1,2,0.03711521305472487,0.037115,,8
F12,200000,200000,9677,1,2,0.048385778545094404,0.048385,,3
F13,400000,400000,8131,1,2,0.020328372497164793,0.0203275,,3
F14,400000,400000,9895,1,2,0.024737064046451485,0.0247375,,7
F15,400000,400000,1860,1,2,0.004648764564833319,0.00465,,2
F16,200000,200000,5115,1,2,0.025575539918090362,0.025575,,4
F17,200000,200000,1541,1,2,0.007705598804240377,0.007705,,1
F18,400000,400000,1910,1,2,0.004775397822954219,0.004775,,7
F19,100000,100000,4187,1,2,0.04186979488975662,0.04187,,7
F20,400000,400000,3009,1,2,0.007523258859259863,0.0075225,,6
F21,50000,50000,2140,1,2,0.04280001499984154,0.0428,,2
F22,400000,400000,837,1,2,0.0020929108273943786,0.0020925,,6
F23,400000,400000,10453,1,2,0.026131773521309798,0.0261325,,8
F24,400000,400000,7267,1,2,0.01816720208689937,0.0181675,,8
F25,400000,400000,3499,1,2,0.008747531362573557,0.0087475,,6
F26,200000,200000,6749,1,2,0.033743165906089945,0.033745,,2
F27,200000,200000,1008,1,2,0.005038834952302507,0.00504,,5
F28,400000,400000,10459,1,2,0.02614694046526128,0.0261475,,3
F29,200000,200000,7613,1,2,0.03806349121805397,0.038065,,6
F30,400000,400000,6613,1,2,0.01653217640593968,0.0165325,,2
F31,200000,200000,8936,1,2,0.04468144775686772,0.04468,,4
F32,400000,400000,4389,1,2,0.010972287223554367,0.0109725,,3
F33,200000,200000,3618,1,2,0.01809117872317606,0.01809,,4
F34,400000,400000,10289,1,2,0.025722054304197495,0.0257225,,2
F35,400000,400000,9415,1,2,0.023536873333594277,0.0235375,,6
F36,400000,400000,600,1,2,0.0007136234570534472,0.0015,,5
F37,50000,50000,6128,1,2,0.12256460380155412,0.12256,,2
F38,400000,400000,2933,1,2,0.007332053740069455,0.0073325,,3
F39,100000,100000,1178,1,2,0.011780026703266985,0.01178,,8
F40,200000,200000,2817,1,2,0.014084609793974301,0.014085,,7
F41,200000,200000,6642,1,2,0.033211929033362425,0.03321,,4
F42,100000,100000,672,1,2,0.00672099202667259,0.00672,,4
F43,400000,400000,600,1,2,0.00041384159984661495,0.0015,,3
F44,400000,400000,8611,1,2,0.021527737874327983,0.0215275,,5
F45,400000,400000,1883,1,2,0.0047084712701841724,0.0047075,,8
F46,100000,100000,4159,1,2,0.04159019398142848,0.04159,,3
F47,400000,400000,613,1,2,0.0015312969094490967,0.0015325,,1
F48,400000,400000,600,1,2,0.0006752944812201394,0.0015,,1
