Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,800000,800000,3097,1,2,0.0038707484967718253,0.00387125,5.015032281748162e-07,6,3
F2,100000,100000,4287,1,2,0.042868619380788675,0.04287,1.3806192113233196e-06,4,24
F3,800000,800000,11979,1,2,0.014973675537771403,0.01497375,7.44622285966251e-08,4,3
F4,400000,400000,4039,1,2,0.010098096907425913,0.0100975,5.969074259124657e-07,2,6
F5,200000,200000,673,1,2,0.00336449330083588,0.003365,5.066991641197727e-07,2,12
F6,200000,200000,9888,1,2,0.04943871061101801,0.04944,1.2893889819870497e-06,5,12
F7,400000,400000,10282,1,2,0.025706075649206128,0.025705,1.0756492061295142e-06,1,6
F8,400000,400000,9303,1,2,0.023258686382896077,0.0232575,1.186382896076199e-06,5,6
F9,200000,200000,6053,1,2,0.030264297553553976,0.030265,7.024464460242408e-07,6,12
F10,800000,800000,9795,1,2,0.01224381712352196,0.01224375,6.712352196118487e-08,5,3
F11,800000,800000,1911,1,2,0.002389314371047724,0.00238875,5.643710477240028e-07,4,3
F12,100000,100000,3192,1,2,0.031921173934874036,0.03192,1.1739348740394395e-06,4,24
F13,400000,400000,8284,1,2,0.02071101389282015,0.02071,1.0138928201522401e-06,2,6
F14,800000,800000,4815,1,2,0.006018723782907687,0.00601875,2.62170923130689e-08,3,3
F15,800000,800000,10503,1,2,0.013128565657616886,0.01312875,1.843423831134755e-07,5,3
F16,400000,400000,9211,1,2,0.023026297811407137,0.0230275,1.2021885928623077e-06,4,6
F17,100000,100000,3421,1,2,0.034207572302064726,0.03421,2.427697935271367e-06,4,24
F18,800000,800000,1283,1,2,0.0016041318844089991,0.00160375,3.8188440899919636e-07,7,3
F19,400000,400000,4688,1,2,0.011719452494130589,0.01172,5.475058694106444e-07,4,6
F20,400000,400000,1468,1,2,0.00366971367174318,0.00367,2.863282568201127e-07,4,6
F21,200000,200000,2002,1,2,0.010009466287905555,0.01001,5.337120944446522e-07,6,12
F22,100000,100000,4645,1,2,0.04645221881894118,0.04645,2.2188189411839754e-06,5,24
F23,800000,800000,4597,1,2,0.005746023556418678,0.00574625,2.264435813217197e-07,1,3
F24,800000,800000,4662,1,2,0.005827759127304877,0.0058275,2.591273048765594e-07,6,3
F25,200000,200000,8341,1,2,0.04170387122000424,0.041705,1.1287799957584999e-06,4,12
F26,400000,400000,6397,1,2,0.015992683451620027,0.0159925,1.8345162002691984e-07,2,6
F27,100000,100000,1570,1,2,0.015699721411992384,0.0157,2.785880076142111e-07,6,24
F28,800000,800000,1523,1,2,0.0019034424984550324,0.00190375,3.0750154496762133e-07,1,3
F29,800000,800000,3366,1,2,0.004207496385677523,0.0042075,3.6143224775922467e-09,1,3
F30,800000,800000,795,1,2,0.0009938977388584957,0.00099375,1.477388584956909e-07,2,3
F31,800000,800000,2101,1,2,0.002626510622696532,0.00262625,2.606226965316816e-07,6,3
F32,800000,800000,4159,1,2,0.005198779376884843,0.00519875,2.937688484312695e-08,4,3
F33,400000,400000,660,1,2,0.0016506085241930757,0.00165,6.08524193075697e-07,3,6
F34,800000,800000,600,1,2,0.0003201813798203168,0.00075,0.0004298186201796832,4,3
F35,100000,100000,2386,1,2,0.02385979952756384,0.02386,2.0047243615844978e-07,6,24
F36,100000,100000,3356,1,2,0.033558028320453626,0.03356,1.97167954637395e-06,5,24
F37,800000,800000,1495,1,2,0.001868924326170307,0.00186875,1.7432617030704693e-07,5,3
F38,800000,800000,3822,1,2,0.004778100404446289,0.0047775,6.004044462897332e-07,5,3
F39,200000,200000,8448,1,2,0.04224087077106248,0.04224,8.707710624777931e-07,5,12
F40,100000,100000,4722,1,2,0.04721924650599699,0.04722,7.534940030112791e-07,5,24
F41,800000,800000,4723,1,2,0.005903790191394517,0.00590375,4.019139451718473e-08,5,3
F42,800000,800000,683,1,2,0.0008542532954676219,0.00085375,5.03295467621837e-07,1,3
F43,200000,200000,9496,1,2,0.047479610346588624,0.04748,3.8965341137703335e-07,5,12
F44,400000,400000,1968,1,2,0.004920084959061238,0.00492,8.49590612384335e-08,3,6
F45,100000,100000,3222,1,2,0.032219655902537746,0.03222,3.440974622528903e-07,5,24
F46,800000,800000,7875,1,2,0.009843395374802416,0.00984375,3.546251975839604e-07,1,3
F47,400000,400000,7383,1,2,0.018456896098419898,0.0184575,6.039015801040382e-07,1,6
F48,100000,100000,867,1,2,0.008670322789802017,0.00867,3.227898020159714e-07,2,24
