Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,100000,100000,5154,1,2,0.05154249056435911,0.05154,2.490564359108882e-06,1,24
F2,200000,200000,6925,1,2,0.03462545255104943,0.034625,4.5255104942631963e-07,1,12
F3,100000,100000,1372,1,2,0.013719727333508347,0.01372,2.7266649165261225e-07,1,24
F4,100000,100000,5095,1,2,0.05095192899506584,0.05095,1.9289950658404886e-06,1,24
F5,400000,400000,1555,1,2,0.003887929659309619,0.0038875,4.2965930961919377e-07,3,6
F6,100000,100000,3749,1,2,0.03749186798368154,0.03749,1.8679836815346795e-06,1,24
F7,400000,400000,10535,1,2,0.026338649706151518,0.0263375,1.149706151518104e-06,7,6
F8,800000,800000,600,1,2,0.00043090922201227677,0.00075,0.00031909077798772324,4,3
F9,200000,200000,3995,1,2,0.0199759868944398,0.019975,9.868944398014334e-07,7,12
F10,100000,100000,3318,1,2,0.03317930063975805,0.03318,6.993602419541611e-07,1,24
F11,800000,800000,7245,1,2,0.009055750141335528,0.00905625,4.998586644721498e-07,5,3
F12,800000,800000,1028,1,2,0.0012845720971961239,0.001285,4.2790280387603775e-07,3,3
F13,800000,800000,5141,1,2,0.006426530536683961,0.00642625,2.8053668396123277e-07,2,3
F14,100000,100000,876,1,2,0.008759892033978867,0.00876,1.0796602113380405e-07,6,24
F15,400000,400000,2387,1,2,0.005967854440615761,0.0059675,3.5444061576104385e-07,2,6
F16,400000,400000,879,1,2,0.002197263832612595,0.0021975,2.3616738740496468e-07,1,6
F17,800000,800000,1219,1,2,0.0015241744995214135,0.00152375,4.24499521413553e-07,5,3
F18,400000,400000,679,1,2,0.001696988133840005,0.0016975,5.118661599949875e-07,7,6
F19,100000,100000,1937,1,2,0.019370876937434944,0.01937,8.769374349459902e-07,5,24
F20,800000,800000,2330,1,2,0.0029124159320516596,0.0029125,8.406794834055209e-08,7,3
F21,800000,800000,9637,1,2,0.01204685662418381,0.01204625,6.066241838107583e-07,2,3
F22,200000,200000,6751,1,2,0.03375670709810241,0.033755,1.7070981024117082e-06,7,12
F23,200000,200000,2550,1,2,0.0127498309016148,0.01275,1.6909838519880982e-07,7,12
F24,800000,800000,4997,1,2,0.006245795811855526,0.00624625,4.5418814447438505e-07,4,3
F25,400000,400000,8537,1,2,0.02134299028566128,0.0213425,4.902856612781781e-07,4,6
F26,400000,400000,9637,1,2,0.02409215058477665,0.0240925,3.4941522334894226e-07,3,6
F27,200000,200000,852,1,2,0.004259632696969717,0.00426,3.6730303028253974e-07,6,12
F28,400000,400000,6819,1,2,0.017047013445652015,0.0170475,4.865543479851131e-07,1,6
F29,400000,400000,9262,1,2,0.023153833372674792,0.023155,1.1666273252060322e-06,6,6
F30,400000,400000,6257,1,2,0.015641637518078455,0.0156425,8.624819215451163e-07,4,6
F31,800000,800000,980,1,2,0.001224388061241255,0.001225,6.119387587449725e-07,6,3
F32,100000,100000,3767,1,2,0.03767071854196974,0.03767,7.185419697366968e-07,1,24
F33,200000,200000,6304,1,2,0.031517857963063056,0.03152,2.1420369369432035e-06,5,12
F34,800000,800000,600,1,2,0.0003987421981571371,0.00075,0.00035125780184286294,1,3
F35,800000,800000,10543,1,2,0.013178426808937133,0.01317875,3.231910628669066e-07,3,3
F36,800000,800000,1579,1,2,0.001973968020799327,0.00197375,2.1802079932728424e-07,1,3
F37,100000,100000,6836,1,2,0.06835688746137783,0.06836,3.112538622174199e-06,1,24
F38,800000,800000,8249,1,2,0.010311833106048884,0.01031125,5.83106048885132e-07,3,3
F39,400000,400000,5833,1,2,0.014582187839806957,0.0145825,3.1216019304343423e-07,6,6
F40,800000,800000,9999,1,2,0.012498632147793926,0.01249875,1.1785220607393732e-07,6,3
F41,100000,100000,3515,1,2,0.03515147974456563,0.03515,1.4797445656300479e-06,1,24
F42,400000,400000,2581,1,2,0.006452627977808656,0.0064525,1.2797780865603237e-07,4,6
F43,800000,800000,8867,1,2,0.011084158883053224,0.01108375,4.088830532246457e-07,1,3
F44,400000,400000,1590,1,2,0.003974866644687151,0.003975,1.3335531284883878e-07,5,6
F45,800000,800000,9883,1,2,0.012353744258057645,0.01235375,5.7419423556137605e-09,4,3
F46,800000,800000,10391,1,2,0.012988856815466958,0.01298875,1.0681546695756605e-07,5,3
F47,800000,800000,7514,1,2,0.009392680645687705,0.0093925,1.8064568770535805e-07,7,3
F48,400000,400000,6462,1,2,0.016154616828564457,0.016155,3.831714355424787e-07,3,6
