Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,200000,200000,3153,1,2,0.0157660685085258,0.015765,1.0685085257977622e-06,4,12
F2,400000,400000,8705,1,2,0.021762554744434337,0.0217625,5.47444343364234e-08,5,6
F3,200000,200000,9651,1,2,0.0482573908318763,0.048255,2.390831876301902e-06,3,12
F4,50000,50000,2212,1,2,0.04424172887239208,0.04424,1.7288723920816373e-06,3,48
F5,800000,800000,7467,1,2,0.009333814422377462,0.00933375,6.442237746213941e-08,2,3
F6,50000,50000,3255,1,2,0.06509928145451249,0.0651,7.185454875130448e-07,1,48
F7,200000,200000,6262,1,2,0.03131225678934246,0.03131,2.2567893424654817e-06,1,12
F8,800000,800000,4873,1,2,0.006090825679209599,0.00609125,4.2432079040092413e-07,2,3
F9,800000,800000,11537,1,2,0.014421450383353185,0.01442125,2.0038335318481315e-07,7,3
F10,400000,400000,6166,1,2,0.015415156111022954,0.015415,1.5611102295413903e-07,6,6
F11,800000,800000,6355,1,2,0.007944108153308815,0.00794375,3.58153308815945e-07,7,3
F12,400000,400000,6155,1,2,0.01538720556973694,0.0153875,2.9443026306093245e-07,2,6
F13,800000,800000,1512,1,2,0.0018896942728374722,0.00189,3.0572716252781455e-07,7,3
F14,400000,400000,10445,1,2,0.026111521333387233,0.0261125,9.786666127671595e-07,4,6
F15,800000,800000,8424,1,2,0.01052974795085626,0.01053,2.520491437386224e-07,3,3
F16,400000,400000,7275,1,2,0.018188039676016343,0.0181875,5.39676016344387e-07,2,6
F17,800000,800000,11540,1,2,0.014424504861619558,0.014425,4.951383804421838e-07,3,3
F18,200000,200000,4041,1,2,0.020205400305212062,0.020205,4.003052120615802e-07,1,12
F19,400000,400000,9707,1,2,0.024267385212277115,0.0242675,1.1478772288589512e-07,6,6
F20,400000,400000,7093,1,2,0.017732686795762453,0.0177325,1.8679576245170249e-07,3,6
F21,200000,200000,8791,1,2,0.043953728317662366,0.043955,1.2716823376349162e-06,5,12
F22,400000,400000,2545,1,2,0.006363034642846099,0.0063625,5.346428460992203e-07,4,6
F23,100000,100000,1237,1,2,0.012370164505266179,0.01237,1.6450526617826922e-07,6,24
F24,400000,400000,8007,1,2,0.020018536075239346,0.0200175,1.036075239345402e-06,4,6
F25,50000,50000,1883,1,2,0.03765945922475694,0.03766,5.407752430575119e-07,4,48
F26,800000,800000,5763,1,2,0.007204141011854737,0.00720375,3.9101185473656985e-07,1,3
F27,800000,800000,11133,1,2,0.01391661667702454,0.01391625,3.666770245405043e-07,5,3
F28,100000,100000,1341,1,2,0.013410314278433366,0.01341,3.1427843336616357e-07,1,24
F29,800000,800000,2831,1,2,0.003538749737149516,0.00353875,2.6285048400007116e-10,5,3
F30,400000,400000,9027,1,2,0.022567338510107393,0.0225675,1.6148989260764135e-07,3,6
F31,800000,800000,600,1,2,0.0005153836148772128,0.00075,0.00023461638512278717,4,3
F32,800000,800000,600,1,2,0.0007342681416402375,0.00075,1.5731858359762556e-05,5,3
F33,200000,200000,7461,1,2,0.037307421505264005,0.037305,2.421505264006696e-06,3,12
F34,800000,800000,7125,1,2,0.008906871252352788,0.00890625,6.212523527889674e-07,5,3
F35,400000,400000,6762,1,2,0.016903950071637586,0.016905,1.0499283624142153e-06,7,6
F36,800000,800000,3468,1,2,0.0043345746756255354,0.004335,4.253243744648666e-07,3,3
F37,400000,400000,10567,1,2,0.02641670736462054,0.0264175,7.926353794603103e-07,5,6
F38,800000,800000,840,1,2,0.001049929232900898,0.00105,7.076709910192221e-08,1,3
F39,400000,400000,6955,1,2,0.017387504547125912,0.0173875,4.547125911913419e-09,5,6
F40,100000,100000,1302,1,2,0.013019406693900726,0.01302,5.933060992745209e-07,4,24
F41,200000,200000,713,1,2,0.0035647261279916076,0.003565,2.738720083924305e-07,1,12
F42,800000,800000,3147,1,2,0.003933534763928673,0.00393375,2.152360713270074e-07,7,3
F43,50000,50000,935,1,2,0.018698798716371118,0.0187,1.2012836288835538e-06,6,48
F44,800000,800000,2137,1,2,0.002671354194291764,0.00267125,1.0419429176400374e-07,4,3
F45,800000,800000,4925,1,2,0.006156136820838043,0.00615625,1.1317916195734135e-07,6,3
F46,800000,800000,1804,1,2,0.0022549687705292823,0.002255,3.122947071776405e-08,3,3
F47,400000,400000,6713,1,2,0.016782871173838906,0.0167825,3.7117383890755695e-07,1,6
F48,200000,200000,8549,1,2,0.04274554675982726,0.042745,5.467598272607122e-07,1,12
