Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue
F1,200000,200000,6383,1,2,0.03191530723390201,0.031915,,6
F2,400000,400000,4311,1,2,0.010778679850218742,0.0107775,,1
F3,200000,200000,2313,1,2,0.011564294052729629,0.011565,,3
F4,100000,100000,5845,1,2,0.058448348748099344,0.05845,,6
F5,200000,200000,10641,1,2,0.05320463493988026,0.053205,,4
F6,400000,400000,4303,1,2,0.010756617083848008,0.0107575,,7
F7,200000,200000,1767,1,2,0.008834169316072282,0.008835,,2
F8,400000,400000,1120,1,2,0.002799546735004377,0.0028,,4
F9,200000,200000,7185,1,2,0.0359259529343382,0.035925,,1
F10,200000,200000,1283,1,2,0.0064160138225289876,0.006415,,7
F11,400000,400000,6267,1,2,0.015667922049831362,0.0156675,,7
F12,100000,100000,5452,1,2,0.05452079764045503,0.05452,,5
F13,200000,200000,6635,1,2,0.03317363804321838,0.033175,,3
F14,400000,400000,707,1,2,0.0017670643104502615,0.0017675,,6
F15,100000,100000,3071,1,2,0.030707646711163772,0.03071,,7
F16,400000,400000,6685,1,2,0.01671281814080494,0.0167125,,6
F17,400000,400000,2303,1,2,0.005756700726337938,0.0057575,,4
F18,50000,50000,3160,1,2,0.06320292948666129,0.0632,,6
F19,200000,200000,7397,1,2,0.03698632471662766,0.036985,,6
F20,400000,400000,1255,1,2,0.0031380624334234053,0.0031375,,3
F21,400000,400000,600,1,2,7.813609179707637e-05,0.0015,,1
F22,400000,400000,2750,1,2,0.0068760025622225385,0.006875,,1
F23,400000,400000,3297,1,2,0.008242486944385563,0.0082425,,3
F24,50000,50000,1216,1,2,0.024320615364354592,0.02432,,4
F25,200000,200000,5511,1,2,0.027555821443691064,0.027555,,1
F26,400000,400000,4447,1,2,0.011116482314904141,0.0111175,,5
F27,400000,400000,969,1,2,0.002422871917387659,0.0024225,,7
F28,100000,100000,6902,1,2,0.0690153577712499,0.06902,,5
F29,400000,400000,1809,1,2,0.004523240527510741,0.0045225,,5
F30,400000,400000,704,1,2,0.0017597843259201662,0.00176,,2
F31,200000,200000,7017,1,2,0.03508562804921844,0.035085,,5
F32,50000,50000,8736,1,2,0.17471125785238467,0.17472,,4
F33,400000,400000,4903,1,2,0.012257901637404645,0.0122575,,6
F34,400000,400000,4123,1,2,0.01030870556073682,0.0103075,,4
F35,200000,200000,11623,1,2,0.05811728817345879,0.058115,,1
F36,400000,400000,3352,1,2,0.008380306979406227,0.00838,,6
F37,200000,200000,6217,1,2,0.031084376258210117,0.031085,,4
F38,50000,50000,1831,1,2,0.036619602236732635,0.03662,,7
F39,400000,400000,2055,1,2,0.005136441280335885,0.0051375,,2
F40,400000,400000,6588,1,2,0.01647017630076239,0.01647,,1
F41,400000,400000,9754,1,2,0.024385597529918396,0.024385,,3
F42,400000,400000,5977,1,2,0.014943406725465194,0.0149425,,2
F43,400000,400000,1837,1,2,0.00459340661103147,0.0045925,,6
F44,400000,400000,600,1,2,0.0012024707838284576,0.0015,,7
F45,200000,200000,1411,1,2,0.007054258604939842,0.007055,,5
F46,200000,200000,5289,1,2,0.026446088712849744,0.026445,,5
F47,400000,400000,807,1,2,0.0020170777691018577,0.0020175,,1
F48,100000,100000,6038,1,2,0.06037679452993594,0.06038,,5
