Flow,Period,Deadline,Execution Time,w,h,Target_Utilization,Actual_Utilization,Utilization_Error,Queue,Packets_in_Hyperperiod
F1,200000,200000,1998,1,2,0.009989023070789416,0.00999,9.769292105849675e-07,4,6
F2,400000,400000,2019,1,2,0.005048619233626317,0.0050475,1.1192336263170233e-06,2,3
F3,100000,100000,2815,1,2,0.02814915541940577,0.02815,8.445805942322582e-07,1,12
F4,400000,400000,1711,1,2,0.00427714628600373,0.0042775,3.537139962699054e-07,6,3
F5,200000,200000,5927,1,2,0.029635742421900146,0.029635,7.424219001447852e-07,3,6
F6,400000,400000,2337,1,2,0.005842124283321315,0.0058425,3.7571667868465525e-07,5,3
F7,400000,400000,1031,1,2,0.0025772306749243246,0.0025775,2.6932507567536956e-07,1,3
F8,400000,400000,600,1,2,0.0008536100960009341,0.0015,0.000646389903999066,4,3
F9,400000,400000,2400,1,2,0.005999328704819895,0.006,6.712951801050165e-07,6,3
F10,100000,100000,4093,1,2,0.04092833905169824,0.04093,1.6609483017640536e-06,7,12
F11,100000,100000,4583,1,2,0.04583034528851493,0.04583,3.452885149260454e-07,7,12
F12,400000,400000,1267,1,2,0.00316713258017709,0.0031675,3.6741982291019215e-07,4,3
F13,400000,400000,600,1,2,0.0008622757791150182,0.0015,0.0006377242208849818,3,3
F14,400000,400000,600,1,2,0.000435923058824228,0.0015,0.001064076941175772,1,3
F15,400000,400000,3799,1,2,0.00949868567219292,0.0094975,1.185672192918416e-06,3,3
F16,100000,100000,7350,1,2,0.07350499372540664,0.0735,4.993725406646221e-06,7,12
F17,400000,400000,2089,1,2,0.005223693265034246,0.0052225,1.193265034246313e-06,4,3
F18,400000,400000,825,1,2,0.002063196602456019,0.0020625,6.966024560187828e-07,7,3
F19,400000,400000,600,1,2,0.001432219362498155,0.0015,6.778063750184507e-05,2,3
F20,400000,400000,2026,1,2,0.005065731969641107,0.005065,7.319696411073329e-07,1,3
F21,400000,400000,2899,1,2,0.007247618394558897,0.0072475,1.1839455889717937e-07,5,3
F22,200000,200000,3772,1,2,0.01885968089280221,0.01886,3.19107197787466e-07,2,6
F23,200000,200000,8156,1,2,0.04078160680403908,0.04078,1.606804039086529e-06,4,6
F24,100000,100000,4049,1,2,0.04048912618779238,0.04049,8.738122076190624e-07,7,12
F25,400000,400000,600,1,2,0.0003533569155070859,0.0015,0.0011466430844929141,4,3
F26,100000,100000,3929,1,2,0.039292433446818265,0.03929,2.4334468182660163e-06,4,12
F27,400000,400000,2685,1,2,0.00671281460476858,0.0067125,3.1460476858022335e-07,6,3
F28,400000,400000,7829,1,2,0.01957130598477408,0.0195725,1.1940152259207193e-06,6,3
F29,400000,400000,1862,1,2,0.004654555306993047,0.004655,4.4469300695352404e-07,7,3
F30,400000,400000,11601,1,2,0.02900192459564449,0.0290025,5.754043555100674e-07,4,3
F31,400000,400000,2131,1,2,0.005328120451709939,0.0053275,6.204517099392057e-07,3,3
F32,200000,200000,2907,1,2,0.014533811634129978,0.014535,1.1883658700209687e-06,7,6
F33,200000,200000,8355,1,2,0.04177417285452445,0.041775,8.271454755501284e-07,4,6
F34,400000,400000,715,1,2,0.001787306244196818,0.0017875,1.9375580318208713e-07,6,3
F35,400000,400000,7946,1,2,0.01986477185896257,0.019865,2.281410374296855e-07,4,3
F36,100000,100000,6323,1,2,0.0632276231235786,0.06323,2.376876421392171e-06,7,12
F37,200000,200000,8528,1,2,0.04263887679197881,0.04264,1.1232080211892592e-06,7,6
F38,100000,100000,2337,1,2,0.023370104326272262,0.02337,1.043262722634497e-07,7,12
F39,200000,200000,719,1,2,0.0035950876489118933,0.003595,8.7648911893147e-08,3,6
F40,400000,400000,925,1,2,0.0023126451089166555,0.0023125,1.4510891665564865e-07,2,3
F41,400000,400000,11470,1,2,0.028674621640219916,0.028675,3.78359780082993e-07,6,3
F42,100000,100000,3808,1,2,0.03807837947824033,0.03808,1.6205217596709787e-06,7,12
F43,400000,400000,2430,1,2,0.006074409055873739,0.006075,5.909441262606438e-07,2,3
F44,400000,400000,7208,1,2,0.01801892905984824,0.01802,1.0709401517608463e-06,1,3
F45,400000,400000,855,1,2,0.0021371953143114533,0.0021375,3.046856885467568e-07,5,3
F46,400000,400000,9047,1,2,0.022617988459514262,0.0226175,4.88459514263323e-07,5,3
F47,200000,200000,4604,1,2,0.023020629291348446,0.02302,6.292913484473583e-07,3,6
F48,400000,400000,1442,1,2,0.0036053804287326336,0.003605,3.8042873263350804e-07,5,3
